Country Code,CountryName,Region,IncomeGroup,SpecialNotes
NRU,Nauru,East Asia & Pacific,High income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
NZL,New Zealand,East Asia & Pacific,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
OED,OECD members,,,
OMN,Oman,Middle East & North Africa,High income,
OSS,Other small states,,,
PAK,Pakistan,South Asia,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
PAN,Panama,Latin America & Caribbean,High income,
PER,Peru,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
PHL,Philippines,East Asia & Pacific,Lower middle income,
PLW,Palau,East Asia & Pacific,Upper middle income,Fiscal year ends on September 30; reporting period for national accounts data: FY.
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,
POL,Poland,Europe & Central Asia,High income,
PRE,Pre-demographic dividend,,,"Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth."
PRI,Puerto Rico,Latin America & Caribbean,High income,Fiscal year end: June 30; reporting period for national accounts data: FY.
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,
PRT,Portugal,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
PRY,Paraguay,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1982-1988. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
PSE,West Bank and Gaza,Middle East & North Africa,Upper middle income,National accounts data are provided in the US dollar.
PSS,Pacific island small states,,,Pacific island small states aggregate.
PST,Post-demographic dividend,,,Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.
PYF,French Polynesia,East Asia & Pacific,High income,
QAT,Qatar,Middle East & North Africa,High income,
ROU,Romania,Europe & Central Asia,High income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1987-1992. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
RUS,Russian Federation,Europe & Central Asia,Upper middle income,
RWA,Rwanda,Sub-Saharan Africa,Low income,
SAS,South Asia,,,
SAU,Saudi Arabia,Middle East & North Africa,High income,
SDN,Sudan,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2018-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
SEN,Senegal,Sub-Saharan Africa,Lower middle income,
SGP,Singapore,East Asia & Pacific,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,
SLE,Sierra Leone,Sub-Saharan Africa,Low income,
SLV,El Salvador,Latin America & Caribbean,Upper middle income,
SMR,San Marino,Europe & Central Asia,High income,
SOM,Somalia,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1977-2017. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
SRB,Serbia,Europe & Central Asia,Upper middle income,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised."
SSA,Sub-Saharan Africa (excluding high income),,,
SSD,South Sudan,Sub-Saharan Africa,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
SSF,Sub-Saharan Africa,,,Sub-Saharan Africa regional aggregate (includes all income levels).
SST,Small states,,,Small states (members of the Small States Forum) aggregate.
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,National account data were adjusted to reflect the new banknote (1 new Dobra STN = 1000 old Dobra STD)
SUR,Suriname,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1989-2022. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
SVK,Slovak Republic,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
SVN,Slovenia,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
SWE,Sweden,Europe & Central Asia,High income,Fiscal year end: June 30; reporting period for national accounts data: CY.
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income,
SYC,Seychelles,Sub-Saharan Africa,High income,
SYR,Syrian Arab Republic,Middle East & North Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2011-2022. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,
TCD,Chad,Sub-Saharan Africa,Low income,
TEA,East Asia & Pacific (IDA & IBRD countries),,,East Asia & Pacific (IDA & IBRD countries) aggregate.
TEC,Europe & Central Asia (IDA & IBRD countries),,,Europe & Central Asia (IDA & IBRD countries) aggregate.
TGO,Togo,Sub-Saharan Africa,Low income,
THA,Thailand,East Asia & Pacific,Upper middle income,Fiscal year end: September 30; reporting period for national accounts data: CY.
TJK,Tajikistan,Europe & Central Asia,Lower middle income,
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,
TLA,Latin America & the Caribbean (IDA & IBRD countries),,,Latin America & the Caribbean (IDA & IBRD countries) aggregate.
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,
TMN,Middle East & North Africa (IDA & IBRD countries),,,Middle East & North Africa (IDA & IBRD countries) aggregate.
TON,Tonga,East Asia & Pacific,Upper middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
TSA,South Asia (IDA & IBRD),,,South Asia (IDA & IBRD countries) aggregate.
TSS,Sub-Saharan Africa (IDA & IBRD countries),,,Sub-Saharan Africa (IDA & IBRD countries) aggregate.
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,
TUN,Tunisia,Middle East & North Africa,Lower middle income,
TUR,Turkiye,Europe & Central Asia,Upper middle income,
TUV,Tuvalu,East Asia & Pacific,Upper middle income,
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,
UGA,Uganda,Sub-Saharan Africa,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1960-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
UKR,Ukraine,Europe & Central Asia,Lower middle income,
UMC,Upper middle income,,,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2022 GNI per capita was between $4,466 and $13,845."
URY,Uruguay,Latin America & Caribbean,High income,
USA,United States,North America,High income,
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,
VEN,"Venezuela, RB",Latin America & Caribbean,,
VGB,British Virgin Islands,Latin America & Caribbean,High income,
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,
VNM,Viet Nam,East Asia & Pacific,Lower middle income,
VUT,Vanuatu,East Asia & Pacific,Lower middle income,
WLD,World,,,
WSM,Samoa,East Asia & Pacific,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
XKX,Kosovo,Europe & Central Asia,Upper middle income,
YEM,"Yemen, Rep.",Middle East & North Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1990-2019. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,"National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha."
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,"National Accounts data are reported in Zimbabwean Dollar (ZWL). Before 2017, one ZWL is set to be equal to one USD.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2017-2022. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
